ID,Zip_Code,Total_Population,Has?
975,3865,7642,0
976,3867,21214,0
977,3868,5135,0
978,3869,2471,0
979,3870,5340,0
980,3871,61,0
981,3872,3391,0
982,3873,6179,0
983,3874,8893,0
984,3875,1183,0
985,3878,11855,0
986,3882,1435,0
987,3883,98,0
988,3884,3892,0
989,3885,7227,0
990,3886,2045,0
991,3887,1974,0
992,3890,274,0
993,3894,6203,0
994,3901,7538,0
995,3902,2428,0
996,3903,6380,0
997,3904,7939,0
998,3905,1710,0
999,3906,4704,0
1000,3907,1217,0
1001,3908,7363,0
1002,3909,9838,0
1003,3910,498,0
1004,3911,72,0
1005,4001,2550,0
1006,4002,7456,0
1007,4003,359,0
1008,4005,23211,0
1009,4006,163,0
1010,4008,2862,0
1011,4009,5282,0
1012,4010,1428,0
1013,4011,20523,0
1014,4015,3767,0
1015,4017,454,0
1016,4019,14,0
1017,4020,1289,0
1018,4021,6345,0
1019,4022,1089,0
1020,4024,624,0
1021,4027,6168,0
1022,4029,1552,0
1023,4030,2897,0
1024,4032,8296,0
1025,4037,3806,0
1026,4038,17147,0
1027,4039,7537,0
1028,4040,3118,0
1029,4041,1719,0
1030,4042,4473,0
1031,4043,11223,0
1032,4046,7734,0
1033,4047,1858,0
1034,4048,2981,0
1035,4049,3712,0
1036,4050,257,0
1037,4051,1069,0
1038,4055,3943,0
1039,4056,342,0
1040,4057,64,0
1041,4061,2952,0
1042,4062,17976,0
1043,4063,491,0
1044,4064,8254,0
1045,4066,634,0
1046,4068,1612,0
1047,4069,1689,0
1048,4071,5106,0
1049,4072,19127,0
1050,4073,16478,0
1051,4074,19469,0
1052,4076,2690,0
1053,4079,3864,0
1054,4083,4398,0
1055,4084,7591,0
1056,4085,2500,0
1057,4086,8737,0
1058,4087,1898,0
1059,4088,1428,0
1060,4090,10048,0
1061,4091,834,0
1062,4092,18156,1
1063,4093,8158,0
1064,4095,1216,0
1065,4096,8494,0
1066,4097,3735,0
1067,4101,17156,1
1068,4102,17797,0
1069,4103,30807,0
1070,4105,11629,0
1071,4106,25738,1
1072,4107,9079,0
1073,4108,858,0
1074,4109,83,0
1075,4110,1350,0
1076,4210,22941,0
1077,4216,365,0
