Zip_Code,Total_Population,Median_Income,num_of_fast_food,num_of_mex_restaurants,Labels,Brand,Address,City,State,Probability
1349,1231,61630,5,44,0,,0,0,0,59%
1350,86,31458,71,37,0,,0,0,0,56%
1351,2209,82548,24,241,0,,0,0,0,60%
1354,1604,69226,20,232,0,,0,0,0,59%
1355,917,70313,181,66,0,,0,0,0,61%
1360,3012,69028,21,242,0,,0,0,0,59%
1364,7819,43413,95,41,0,,0,0,0,58%
1366,1218,65529,203,71,0,,0,0,0,61%
1367,605,55469,6,194,0,,0,0,0,58%
1368,1316,72813,18,406,0,,0,0,0,59%
1370,4032,54036,25,5,0,,0,0,0,58%
1373,4160,74022,52,33,0,,0,0,0,60%
1375,3662,54886,52,34,0,,0,0,0,58%
1376,5096,43750,18,42,0,,0,0,0,57%
1378,744,57885,7,255,0,,0,0,0,58%
1379,836,43500,18,253,0,,0,0,0,57%
1420,40666,51412,46,24,0,,0,0,0,58%
1430,6210,85064,46,24,0,,0,0,0,61%
1431,3195,95833,50,24,0,,0,0,0,62%
1432,7703,79750,87,51,0,,0,0,0,61%
1434,1712,50547,7,299,0,,0,0,0,57%
1436,3460,60156,7,35,0,,0,0,0,58%
1438,563,74142,8,71,0,,0,0,0,60%
1440,20496,48915,15,7,0,,0,0,0,57%
1450,11282,123918,108,62,0,,0,0,0,65%
1451,4630,143625,97,58,0,,0,0,0,68%
1452,4581,93387,14,6,0,,0,0,0,62%
1453,41446,57610,53,29,0,,0,0,0,58%
1460,9754,119177,108,54,0,,0,0,0,65%
1462,11150,97775,42,24,0,,0,0,0,62%
1463,12049,90029,121,64,0,,0,0,0,62%
1464,7572,67541,75,41,0,,0,0,0,60%
1467,511,98036,,,0,,0,0,0,
1468,4124,64872,15,486,0,,0,0,0,58%
1469,7454,84489,60,31,0,,0,0,0,61%
1473,7566,100071,45,23,0,,0,0,0,63%
1474,1964,84851,275,130,0,,0,0,0,63%
1475,10738,64539,18,5,0,,0,0,0,59%
1501,16412,74576,77,33,0,,0,0,0,60%
1503,3098,97417,42,19,0,,0,0,0,62%
1504,9201,80260,32,9,0,,0,0,0,61%
1505,4524,97074,172,76,0,,0,0,0,63%
1506,3406,64219,37,7,0,,0,0,0,59%
1507,13379,93921,122,42,0,,0,0,0,63%
1510,13855,68362,22,5,0,,0,0,0,59%
1515,2123,80234,11,71,0,,0,0,0,60%
1516,8745,94531,60,14,0,,0,0,0,62%
1518,3490,58438,39,7,0,,0,0,0,59%
1519,6657,106250,39,16,0,,0,0,0,63%
1520,15061,99674,126,51,0,,0,0,0,63%
1521,2510,78348,13,118,0,,0,0,0,60%
1522,3497,104508,106,53,0,,0,0,0,64%
1523,7735,104630,95,52,0,,0,0,0,63%
1524,6702,64135,147,50,0,,0,0,0,60%
1525,227,-666666666,,,0,,0,0,0,
1527,13521,74713,188,66,0,,0,0,0,61%
1529,3237,90500,31,7,0,,0,0,0,62%
1531,1247,84432,14,706,0,,0,0,0,60%
1532,14918,111875,193,89,0,,0,0,0,65%
1534,6262,89348,11,278,0,,0,0,0,61%
1535,4760,73133,20,761,0,,0,0,0,58%
1536,7709,105283,70,27,0,,0,0,0,63%
1537,2337,74883,34,7,0,,0,0,0,60%
1540,11386,68865,114,39,0,,0,0,0,60%
1541,3438,128006,53,27,0,,0,0,0,66%
1542,2299,100000,52,19,0,,0,0,0,63%
1543,8463,100962,82,41,0,,0,0,0,63%
1545,36269,101229,196,83,1,Chipotle,97 Boston Turnpike,Shrewsbury,MA,
1550,16858,50202,56,13,0,,0,0,0,58%
1560,4477,85390,25,6,0,,0,0,0,61%
